artifact,result_status,mission_terminal,navigation_success_claimed,result_path,failure_path,failure_reason,recorded_summary,source_reports,physical_reader_path,verified_goal_arrivals,verified_home_arrivals,round_trip_checks_passed,disallowed_contact_samples
go2_all_phase_matched_fits_v1_attempt_001,ALL_PHASE_EIGHTEEN_FITS_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_matched_fits_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_EIGHTEEN_FITS_COMPLETE"",""wall_s"":1937.33473261795}",docs/go2_all_phase_fit_benchmark_result_2026-09-10.md;docs/go2_all_phase_matched_fits_progress_2026-09-10.md;docs/go2_all_phase_matched_fits_v1_2026-09-10.md;docs/go2_all_phase_models_and_native_queue_progress_2026-09-10.md,,,,,
go2_all_phase_matched_fits_wait_v1_attempt_001,ALL_PHASE_MATCHED_FITS_WAIT_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_matched_fits_wait_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_MATCHED_FITS_WAIT_COMPLETE""}",docs/go2_all_phase_fit_benchmark_result_2026-09-10.md,,,,,
go2_all_phase_residual_maze02_matched_native_v1_attempt_001,ALL_PHASE_RESIDUAL_MAZE02_MATCHED_NATIVE_V1_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_residual_maze02_matched_native_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_RESIDUAL_MAZE02_MATCHED_NATIVE_V1_COMPLETE"",""wall_s"":1360.386856612051}",docs/go2_all_phase_residual_maze02_matched_native_v1_2026-09-10.md;docs/go2_independent_round_trip_population_inputs_result_2026-09-10.md;docs/go2_short_complete_raw_audit_cpu_monitor_v1_2026-09-11.md,,,,,
go2_all_phase_residual_maze02_native_wait_v1_attempt_001,ALL_PHASE_RESIDUAL_MAZE02_NATIVE_WAIT_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_residual_maze02_native_wait_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_RESIDUAL_MAZE02_NATIVE_WAIT_COMPLETE""}",docs/go2_all_phase_models_and_native_queue_progress_2026-09-10.md;docs/go2_all_phase_residual_maze02_native_wait_v1_2026-09-10.md,,,,,
go2_all_phase_training_inputs_v1_attempt_001,ALL_PHASE_TRAINING_INPUTS_V1_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_training_inputs_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_TRAINING_INPUTS_V1_COMPLETE"",""wall_s"":314.06464697094634}",docs/go2_all_phase_training_inputs_preparation_2026-09-10.md;docs/go2_all_phase_training_inputs_result_2026-09-10.md;docs/go2_all_phase_training_inputs_v1_2026-09-10.md,,,,,
go2_all_phase_training_targets_v1_attempt_001,ALL_PHASE_TRAINING_TARGETS_V1_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_training_targets_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_TRAINING_TARGETS_V1_COMPLETE"",""wall_s"":13.099572757957503}",docs/go2_all_phase_training_targets_result_2026-09-10.md;docs/go2_all_phase_training_targets_v1_2026-09-10.md;docs/go2_novel_maze_round_trip_pilot_status_2026-09-08.md,,,,,
go2_all_phase_training_translation_bias_v1_attempt_001,ALL_PHASE_TRAINING_TRANSLATION_BIAS_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_training_translation_bias_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_TRAINING_TRANSLATION_BIAS_COMPLETE"",""wall_s"":26.07074808399193}",docs/go2_all_phase_models_and_native_queue_progress_2026-09-10.md;docs/go2_all_phase_training_translation_bias_preparation_2026-09-10.md;docs/go2_all_phase_training_translation_bias_v1_2026-09-10.md,,,,,
go2_all_phase_translation_bias_wait_v1_attempt_001,ALL_PHASE_TRANSLATION_BIAS_WAIT_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_translation_bias_wait_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_TRANSLATION_BIAS_WAIT_COMPLETE""}",docs/go2_all_phase_correction_handoff_progress_2026-09-10.md,,,,,
go2_anchored_navigation_transfer_v1_attempt_001,complete,,,/home/andrewknowles/Workspace/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_anchored_navigation_transfer_v1_attempt_001/result.json,,,"{""status"":""complete"",""wall_s"":57.019399563083425}",docs/go2_anchored_navigation_transfer_2026-09-18.md,,,,,
go2_anchored_visual_dynamics_v1_attempt_001,complete,,,/mnt/steam_drive/LeWMQuad-v3/navigation_development_artifacts_v1/go2_anchored_visual_dynamics_v1_attempt_001/result.json,,,"{""status"":""complete"",""wall_s"":86.05191701510921}",docs/go2_anchored_visual_dynamics_2026-09-17.md,,,,,
go2_arrival_conditioned_frontier_contact_disabled_noise_2mm_native_layout00_4800_v1_attempt_003,PACED_NATIVE_PREFIX_COMPLETE,OBSERVED_ROUND_TRIP_CANDIDATE,False,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_conditioned_frontier_contact_disabled_noise_2mm_native_layout00_4800_v1_attempt_003/result.json,,,"{""status"":""PACED_NATIVE_PREFIX_COMPLETE"",""mission_terminal"":""OBSERVED_ROUND_TRIP_CANDIDATE"",""navigation_success_claimed"":false,""simulation_s"":362.82,""wall_s"":369.046268132,""camera_frames"":3625,""disallowed_contact"":false,""observed_arrivals"":""[{\""phase\"":\""OUTBOUND\"",\""frame\"":2406,\""measured_ns\"":242100000000,\""target_initial_body_xy_m\"":[3.9000000000000004,2.6],\""observed_position_initial_body_xy_m\"":[3.8993275872983113,2.580905105803472],\""observed_distance_m\"":0.019106729788689294,\""quiet_intervals\"":10,\""native_verified\"":false},{\""phase\"":\""RETURN\"",\""frame\"":3623,\""measured_ns\"":363800000000,\""target_initial_body_xy_m\"":[0.0,0.0],\""observed_position_initial_body_xy_m\"":[-0.019274378390609123,-0.005283619315719144],\""observed_distance_m\"":0.01998545209440658,\""quiet_intervals\"":10,\""native_verified\"":false}]""}",docs/go2_arrival_conditioned_frontier_diagnosis_2026-09-15.md;docs/go2_development_artifact_retention_2026-09-14.md,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_conditioned_frontier_contact_disabled_noise_2mm_native_layout00_4800_v1_attempt_003/continuous_native_arrival_evaluation.json,1,1,True,0
go2_arrival_conditioned_frontier_contact_learned_noise_2mm_native_layout00_4800_v1_attempt_001,PACED_NATIVE_PREFIX_COMPLETE,OBSERVED_ROUND_TRIP_CANDIDATE,False,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_conditioned_frontier_contact_learned_noise_2mm_native_layout00_4800_v1_attempt_001/result.json,,,"{""status"":""PACED_NATIVE_PREFIX_COMPLETE"",""mission_terminal"":""OBSERVED_ROUND_TRIP_CANDIDATE"",""navigation_success_claimed"":false,""simulation_s"":354.84,""wall_s"":356.146337214,""camera_frames"":3545,""disallowed_contact"":false,""observed_arrivals"":""[{\""phase\"":\""OUTBOUND\"",\""frame\"":1958,\""measured_ns\"":197300000000,\""target_initial_body_xy_m\"":[3.9000000000000004,2.6],\""observed_position_initial_body_xy_m\"":[3.8865767710973507,2.586472552565461],\""observed_distance_m\"":0.01905714848205646,\""quiet_intervals\"":10,\""native_verified\"":false},{\""phase\"":\""RETURN\"",\""frame\"":3543,\""measured_ns\"":355800000000,\""target_initial_body_xy_m\"":[0.0,0.0],\""observed_position_initial_body_xy_m\"":[0.010421498813008946,-0.014475106828925156],\""observed_distance_m\"":0.017836377300851834,\""quiet_intervals\"":10,\""native_verified\"":false}]""}",docs/go2_development_artifact_retention_2026-09-14.md,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_conditioned_frontier_contact_learned_noise_2mm_native_layout00_4800_v1_attempt_001/continuous_native_arrival_evaluation.json,1,1,True,0
go2_arrival_conditioned_frontier_layout00_summary_v1_attempt_001,RESULT_RECORDED,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_conditioned_frontier_layout00_summary_v1_attempt_001/result.json,,,{},docs/go2_arrival_conditioned_frontier_diagnosis_2026-09-15.md,,,,,
go2_arrival_conditioned_frontier_view_start_repair_summary_v1_attempt_001,RESULT_RECORDED,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_conditioned_frontier_view_start_repair_summary_v1_attempt_001/result.json,,,{},docs/go2_arrival_conditioned_frontier_diagnosis_2026-09-15.md,,,,,
go2_arrival_entry_priority_stable_reference_jit_floor_cached_fine_goal_lzma_pulse_learned_round_trip_native_layout04_4800_v1_attempt_001,PACED_NATIVE_PREFIX_COMPLETE,OBSERVED_ROUND_TRIP_CANDIDATE,False,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_entry_priority_stable_reference_jit_floor_cached_fine_goal_lzma_pulse_learned_round_trip_native_layout04_4800_v1_attempt_001/result.json,,,"{""status"":""PACED_NATIVE_PREFIX_COMPLETE"",""mission_terminal"":""OBSERVED_ROUND_TRIP_CANDIDATE"",""navigation_success_claimed"":false,""simulation_s"":441.6,""wall_s"":442.590951104,""camera_frames"":4414,""disallowed_contact"":false,""observed_arrivals"":""[{\""phase\"":\""OUTBOUND\"",\""frame\"":3475,\""measured_ns\"":349000000000,\""target_initial_body_xy_m\"":[0.0,1.3],\""observed_position_initial_body_xy_m\"":[0.008781883067883084,1.2872349418155309],\""observed_distance_m\"":0.015494133750257051,\""quiet_intervals\"":10,\""native_verified\"":false},{\""phase\"":\""RETURN\"",\""frame\"":4412,\""measured_ns\"":442700000000,\""target_initial_body_xy_m\"":[0.0,0.0],\""observed_position_initial_body_xy_m\"":[0.015529861190692851,0.003335386439768246],\""observed_distance_m\"":0.015883997963509623,\""quiet_intervals\"":10,\""native_verified\"":false}]""}",docs/go2_development_artifact_retention_2026-09-14.md;docs/go2_stable_reference_and_terminal_heading_result_2026-09-14.md;docs/go2_stable_reference_matched_navigation_result_2026-09-14.md,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_entry_priority_stable_reference_jit_floor_cached_fine_goal_lzma_pulse_learned_round_trip_native_layout04_4800_v1_attempt_001/continuous_native_arrival_evaluation.json,1,1,True,0
go2_arrival_entry_priority_stable_reference_jit_floor_cached_fine_goal_lzma_pulse_learned_round_trip_native_layout06_4800_v1_attempt_001,PACED_NATIVE_PREFIX_COMPLETE,OBSERVED_ROUND_TRIP_CANDIDATE,False,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_entry_priority_stable_reference_jit_floor_cached_fine_goal_lzma_pulse_learned_round_trip_native_layout06_4800_v1_attempt_001/result.json,,,"{""status"":""PACED_NATIVE_PREFIX_COMPLETE"",""mission_terminal"":""OBSERVED_ROUND_TRIP_CANDIDATE"",""navigation_success_claimed"":false,""simulation_s"":242.14,""wall_s"":242.431074366,""camera_frames"":2417,""disallowed_contact"":false,""observed_arrivals"":""[{\""phase\"":\""OUTBOUND\"",\""frame\"":1472,\""measured_ns\"":148700000000,\""target_initial_body_xy_m\"":[0.0,1.3],\""observed_position_initial_body_xy_m\"":[0.0035878746663149273,1.31894137784732],\""observed_distance_m\"":0.01927819077030125,\""quiet_intervals\"":10,\""native_verified\"":false},{\""phase\"":\""RETURN\"",\""frame\"":2415,\""measured_ns\"":243000000000,\""target_initial_body_xy_m\"":[0.0,0.0],\""observed_position_initial_body_xy_m\"":[-0.016970261719526532,-0.003290877720362491],\""observed_distance_m\"":0.01728640098457761,\""quiet_intervals\"":10,\""native_verified\"":false}]""}",docs/go2_development_artifact_retention_2026-09-14.md;docs/go2_stable_reference_matched_navigation_result_2026-09-14.md,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_entry_priority_stable_reference_jit_floor_cached_fine_goal_lzma_pulse_learned_round_trip_native_layout06_4800_v1_attempt_001/continuous_native_arrival_evaluation.json,1,1,True,0
go2_arrival_entry_stable_reference_pulse_matched_comparison_layout04_v1_attempt_001,RESULT_RECORDED,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_entry_stable_reference_pulse_matched_comparison_layout04_v1_attempt_001/result.json,,,{},docs/go2_stable_reference_matched_navigation_result_2026-09-14.md,,,,,
go2_arrival_entry_stable_reference_pulse_matched_comparison_layout06_v1_attempt_001,RESULT_RECORDED,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_arrival_entry_stable_reference_pulse_matched_comparison_layout06_v1_attempt_001/result.json,,,{},docs/go2_stable_reference_matched_navigation_result_2026-09-14.md,,,,,
go2_async_camera_wall_deadlines_layout01_600_v1_attempt_001,PACED_NATIVE_PREFIX_COMPLETE,,False,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_deadlines_layout01_600_v1_attempt_001/result.json,,,"{""status"":""PACED_NATIVE_PREFIX_COMPLETE"",""mission_terminal"":null,""navigation_success_claimed"":false,""simulation_s"":60.1,""wall_s"":60.540257952,""camera_frames"":601,""disallowed_contact"":false,""observed_arrivals"":""[]""}",docs/go2_asynchronous_camera_host_timing_2026-09-15.md,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_deadlines_layout01_600_v1_attempt_001/continuous_native_arrival_evaluation.json,0,0,False,0
go2_async_camera_wall_deadlines_layout01_600_v1_attempt_003,PACED_NATIVE_PREFIX_COMPLETE,,False,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_deadlines_layout01_600_v1_attempt_003/result.json,,,"{""status"":""PACED_NATIVE_PREFIX_COMPLETE"",""mission_terminal"":null,""navigation_success_claimed"":false,""simulation_s"":60.1,""wall_s"":60.54224625,""camera_frames"":601,""disallowed_contact"":false,""observed_arrivals"":""[]""}",docs/go2_development_artifact_retention_2026-09-14.md,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_deadlines_layout01_600_v1_attempt_003/continuous_native_arrival_evaluation.json,0,0,False,0
go2_async_camera_wall_mission_learned_layout01_4800_v1_attempt_001,PACED_NATIVE_PREFIX_COMPLETE,OBSERVED_ROUND_TRIP_CANDIDATE,False,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_mission_learned_layout01_4800_v1_attempt_001/result.json,,,"{""status"":""PACED_NATIVE_PREFIX_COMPLETE"",""mission_terminal"":""OBSERVED_ROUND_TRIP_CANDIDATE"",""navigation_success_claimed"":false,""simulation_s"":248.18,""wall_s"":249.568979869,""camera_frames"":2482,""disallowed_contact"":false,""observed_arrivals"":""[{\""phase\"":\""OUTBOUND\"",\""frame\"":1567,\""measured_ns\"":158200000000,\""target_initial_body_xy_m\"":[3.9000000000000004,-1.3],\""observed_position_initial_body_xy_m\"":[3.895076328275581,-1.291516502852551],\""observed_distance_m\"":0.00980878520004505,\""quiet_intervals\"":10,\""native_verified\"":false},{\""phase\"":\""RETURN\"",\""frame\"":2480,\""measured_ns\"":249500000000,\""target_initial_body_xy_m\"":[0.0,0.0],\""observed_position_initial_body_xy_m\"":[0.008598316462040286,0.00784329632803349],\""observed_distance_m\"":0.011638227668796337,\""quiet_intervals\"":10,\""native_verified\"":false}]""}",docs/go2_asynchronous_camera_host_timing_2026-09-15.md;docs/go2_wall_clock_motion_comparison_2026-09-15.md,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_mission_learned_layout01_4800_v1_attempt_001/continuous_native_arrival_evaluation.json,1,1,True,0
go2_async_camera_wall_mission_pose_command_layout01_4800_v1_attempt_001,FAILURE_RECORD_ONLY,,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_mission_pose_command_layout01_4800_v1_attempt_001/failure.json,RuntimeError('renderer exceeded two in-flight camera acquisitions'),{},docs/go2_wall_clock_motion_comparison_2026-09-15.md,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_mission_pose_command_layout01_4800_v1_attempt_001/continuous_native_arrival_evaluation.json,1,0,False,0
go2_async_camera_wall_mission_reactive_layout01_4800_v1_attempt_001,FAILURE_RECORD_ONLY,,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_mission_reactive_layout01_4800_v1_attempt_001/failure.json,"RuntimeError('[{\'stage\': \'registration\', \'reason\': ""ValueError(\'current measured candidate conflicts with transported floor reference\')""}]')",{},docs/go2_wall_clock_motion_comparison_2026-09-15.md,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_camera_wall_mission_reactive_layout01_4800_v1_attempt_001/continuous_native_arrival_evaluation.json,1,0,False,0
go2_async_wall_and_measured_mission_comparison_v1_attempt_001,RESULT_RECORDED,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_async_wall_and_measured_mission_comparison_v1_attempt_001/result.json,,,{},docs/go2_asynchronous_camera_host_timing_2026-09-15.md,,,,,
go2_atomic_leaf_freeze_tiled_late_history_v1_attempt_001,ATOMIC_LEAF_FREEZE_TILED_LATE_HISTORY_V1_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_atomic_leaf_freeze_tiled_late_history_v1_attempt_001/result.json,,,"{""status"":""ATOMIC_LEAF_FREEZE_TILED_LATE_HISTORY_V1_COMPLETE"",""wall_s"":2086.1274272301234}",docs/go2_atomic_leaf_freeze_replay_and_extended_budget_native_active_2026-09-11.md;docs/go2_atomic_leaf_freeze_tiled_late_history_v1_2026-09-11.md,,,,,
go2_augmented_commitment_clearance_v1_attempt_001,AUGMENTED_COMMITMENT_CLEARANCE_DIAGNOSTIC_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_augmented_commitment_clearance_v1_attempt_001/result.json,,,"{""status"":""AUGMENTED_COMMITMENT_CLEARANCE_DIAGNOSTIC_COMPLETE"",""wall_s"":11.587417060043663}",docs/go2_augmented_commitment_clearance_result_2026-09-08.md;docs/go2_augmented_commitment_clearance_v1_2026-09-08.md,,,,,
go2_augmented_family_switch_fit_benchmark_v1_attempt_001,AUGMENTED_FAMILY_SWITCH_FIT_BENCHMARK_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_augmented_family_switch_fit_benchmark_v1_attempt_001/result.json,,,"{""status"":""AUGMENTED_FAMILY_SWITCH_FIT_BENCHMARK_COMPLETE""}",docs/go2_augmented_family_switch_fit_benchmark_result_2026-09-08.md;docs/go2_augmented_family_switch_fits_v1_2026-09-08.md,,,,,
go2_augmented_family_switch_fit_readout_v1_attempt_001,AUGMENTED_FAMILY_SWITCH_FIT_READOUT_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_augmented_family_switch_fit_readout_v1_attempt_001/result.json,,,"{""status"":""AUGMENTED_FAMILY_SWITCH_FIT_READOUT_COMPLETE"",""wall_s"":10.737472508102655}",docs/go2_augmented_family_switch_fit_readout_v1_2026-09-08.md;docs/go2_augmented_family_switch_fits_result_2026-09-08.md,,,,,
go2_augmented_family_switch_fits_v1_attempt_001,AUGMENTED_FAMILY_SWITCH_EIGHTEEN_FITS_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_augmented_family_switch_fits_v1_attempt_001/result.json,,,"{""status"":""AUGMENTED_FAMILY_SWITCH_EIGHTEEN_FITS_COMPLETE"",""wall_s"":1313.8114909899887}",docs/go2_augmented_family_switch_fits_result_2026-09-08.md;docs/go2_augmented_family_switch_fits_v1_2026-09-08.md,,,,,
go2_augmented_family_switch_goal_probe_v1_attempt_001,AUGMENTED_FAMILY_SWITCH_GOAL_PROBE_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_augmented_family_switch_goal_probe_v1_attempt_001/result.json,,,"{""status"":""AUGMENTED_FAMILY_SWITCH_GOAL_PROBE_COMPLETE"",""wall_s"":79.37622540304437}",docs/go2_augmented_family_switch_goal_probe_result_2026-09-08.md;docs/go2_augmented_family_switch_goal_probe_v1_2026-09-08.md,,,,,
